表1_最小予備率時,北海道,東北,東京,中部,関西,中国,四国,九州,沖縄
9/16,44.2,13.4,13.4,13.4,13.4,13.4,3.9,3.9,3.9,8.4
9/17,36.4,2.9,2.9,2.9,2.9,1.0,1.0,-1.6,-1.6,7.3
9/18,43.6,3.2,3.2,3.2,3.2,-1.9,-1.9,0.5,0.5,25.6
9/19,41.3,11.8,11.8,11.8,11.8,4.3,4.3,9.0,9.0,14.1
9/20,43.5,17.1,17.1,17.1,17.1,10.9,10.9,15.1,15.1,15.1

表2_最小予備率時,北海道,東北,東京,中部,関西,中国,四国,九州,沖縄
9/16,88.8,22.5,64.7,22.5,22.5,22.5,13.1,13.1,13.1,34.3
9/17,78.6,9.6,38.3,9.6,9.6,8.9,8.9,4.9,4.9,37.7
9/18,87.9,9.0,48.9,9.0,9.0,7.8,7.8,8.5,8.5,57.7
9/19,85.0,20.0,52.5,20.0,20.0,14.7,14.7,16.6,16.6,46.6
9/20,87.9,25.5,60.1,25.5,25.5,21.8,21.8,24.6,24.6,45.7
