H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202407,三次調整力2,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240701B01,募集量（TSO別）[MW],0,278,0,0,0,0,0,0,35,313
20240701B01,応札量合計（電源属地別）[MW],481,277,621.717,64.05,0,0,56.492,0,35,1535.259
20240701B01,落札量合計（電源属地別）[MW],0,268,10,0,0,0,0,0,35,313
20240701B01,応札件数（電源属地別）[件],2,3,8,1,0,0,1,0,1,16
20240701B01,落札件数（電源属地別）[件],0,3,1,0,0,0,0,0,1,5
20240701B01,最高落札価格（電源属地別）[円/kW・30分],0,0.34,0.34,0,0,0,0,0,0.34,0.34
20240701B01,最低落札価格（電源属地別）[円/kW・30分],0,0.34,0.34,0,0,0,0,0,0.34,0.34
20240701B01,平均落札価格（電源属地別）[円/kW・30分],0,0.34,0.34,0,0,0,0,0,0.34,0.34
20240701B01,最高落札価格（TSO別）[円/kW・30分],0,0.34,0,0,0,0,0,0,0.34,0.34
20240701B01,最低落札価格（TSO別）[円/kW・30分],0,0.34,0,0,0,0,0,0,0.34,0.34
20240701B01,平均落札価格（TSO別）[円/kW・30分],0,0.34,0,0,0,0,0,0,0.34,0.34
20240701B01,落札量合計（TSO別）[MW],0,278,0,0,0,0,0,0,35,313
20240701B01,（内訳）自エリアからの落札量[MW],0,268,0,0,0,0,0,0,35,303
20240701B02,募集量（TSO別）[MW],0,3,0,1,0,11,4,12,7,38
20240701B02,応札量合計（電源属地別）[MW],464,22,192.6,94.9,0,262.544,51.678,12,34,1133.722
20240701B02,落札量合計（電源属地別）[MW],0,0,10,0,0,5,1,12,10,38
20240701B02,応札件数（電源属地別）[件],2,1,3,2,0,3,1,1,1,14
20240701B02,落札件数（電源属地別）[件],0,0,1,0,0,1,1,1,1,5
20240701B02,最高落札価格（電源属地別）[円/kW・30分],0,0,0.34,0,0,0.34,0.34,0.34,0.34,0.34
20240701B02,最低落札価格（電源属地別）[円/kW・30分],0,0,0.34,0,0,0.34,0.34,0.34,0.34,0.34
20240701B02,平均落札価格（電源属地別）[円/kW・30分],0,0,0.34,0,0,0.34,0.34,0.34,0.34,0.34
20240701B02,最高落札価格（TSO別）[円/kW・30分],0,0.34,0,0.34,0,0.34,0.34,0.34,0.34,0.34
20240701B02,最低落札価格（TSO別）[円/kW・30分],0,0.34,0,0.34,0,0.34,0.34,0.34,0.34,0.34
20240701B02,平均落札価格（TSO別）[円/kW・30分],0,0.34,0,0.34,0,0.34,0.34,0.34,0.34,0.34
20240701B02,落札量合計（TSO別）[MW],0,3,0,1,0,11,4,12,7,38
20240701B02,（内訳）自エリアからの落札量[MW],0,0,0,0,0,5,1,12,7,25
20240701B03,募集量（TSO別）[MW],17,0,217,6,0,22,0,52,182,496
20240701B03,応札量合計（電源属地別）[MW],437,412,637.57,249.73,0,494.044,67.416,52,257.99,2607.75
20240701B03,落札量合計（電源属地別）[MW],17,0,217,10,0,18,0,52,182,496
20240701B03,応札件数（電源属地別）[件],2,4,5,3,0,3,2,1,5,25
20240701B03,落札件数（電源属地別）[件],1,0,1,1,0,1,0,1,2,7
20240701B03,最高落札価格（電源属地別）[円/kW・30分],0.34,0,0.34,0.34,0,0.34,0,0.34,0.34,0.34
20240701B03,最低落札価格（電源属地別）[円/kW・30分],0.34,0,0.34,0.34,0,0.34,0,0.34,0.34,0.34
20240701B03,平均落札価格（電源属地別）[円/kW・30分],0.34,0,0.34,0.34,0,0.34,0,0.34,0.34,0.34
20240701B03,最高落札価格（TSO別）[円/kW・30分],0.34,0,0.34,0.34,0,0.34,0,0.34,0.34,0.34
20240701B03,最低落札価格（TSO別）[円/kW・30分],0.34,0,0.34,0.34,0,0.34,0,0.34,0.34,0.34
20240701B03,平均落札価格（TSO別）[円/kW・30分],0.34,0,0.34,0.34,0,0.34,0,0.34,0.34,0.34
20240701B03,落札量合計（TSO別）[MW],17,0,217,6,0,22,0,52,182,496
20240701B03,（内訳）自エリアからの落札量[MW],17,0,217,6,0,18,0,52,182,492
20240701B04,募集量（TSO別）[MW],33,58,629,8,22,14,9,105,595,1473
20240701B04,応札量合計（電源属地別）[MW],412,613,1735.57,14,22,355.147,110.882,105,753,4120.599
20240701B04,落札量合計（電源属地別）[MW],33,58,637,0,0,158,0,105,482,1473
20240701B04,応札件数（電源属地別）[件],2,6,11,1,1,5,2,1,3,32
20240701B04,落札件数（電源属地別）[件],1,1,3,0,0,2,0,1,2,10
20240701B04,最高落札価格（電源属地別）[円/kW・30分],0.34,0.34,0.34,0,0,0.34,0,0.34,2.12,2.12
20240701B04,最低落札価格（電源属地別）[円/kW・30分],0.34,0.34,0.34,0,0,0.34,0,0.34,2.12,0.34
20240701B04,平均落札価格（電源属地別）[円/kW・30分],0.34,0.34,0.34,0,0,0.34,0,0.34,2.12,0.92
20240701B04,最高落札価格（TSO別）[円/kW・30分],0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,2.12,2.12
20240701B04,最低落札価格（TSO別）[円/kW・30分],0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
20240701B04,平均落札価格（TSO別）[円/kW・30分],0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,1.78,0.92
