H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202407,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240701B01,募集量（TSO別）[MW],164,462,1379,727,127,744,332,115,515,4565
20240701B01,応札量合計（電源属地別）[MW],283.2,569,590.279,0,127,872,255.326,100,515,3311.805
20240701B01,落札量合計（電源属地別）[MW],219.8,569,590.279,0,127,620,214,100,449,2889.079
20240701B01,応札件数（電源属地別）[件],5,3,7,0,1,5,3,6,3,33
20240701B01,落札件数（電源属地別）[件],4,3,7,0,1,3,3,6,3,30
20240701B01,最高落札価格（電源属地別）[円/kW・30分],19.5,3.63,0.34,0,0.34,0.34,1.06,4.69,7.74,19.5
20240701B01,最低落札価格（電源属地別）[円/kW・30分],1.21,1.19,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240701B01,平均落札価格（電源属地別）[円/kW・30分],3.03,2.67,0.34,0,0.34,0.34,0.69,1.95,5.85,1.94
20240701B01,最高落札価格（TSO別）[円/kW・30分],19.5,3.63,0.34,0.34,0.34,0.34,1.38,4.69,7.74,19.5
20240701B01,最低落札価格（TSO別）[円/kW・30分],1.21,1.19,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
20240701B01,平均落札価格（TSO別）[円/kW・30分],3.03,2.67,0.34,0.34,0.34,0.34,0.69,2.04,5.85,1.94
20240701B01,落札量合計（TSO別）[MW],219.8,569,478.279,112,123,598,253,87,449,2889.079
20240701B01,（内訳）自エリアからの落札量[MW],219.8,569,478.279,0,123,598,214,87,449,2738.079
20240701B02,募集量（TSO別）[MW],187,512,1314,695,123,736,338,113,469,4487
20240701B02,応札量合計（電源属地別）[MW],285.19,569,590.279,0,123,979,255.326,96,470.99,3368.785
20240701B02,落札量合計（電源属地別）[MW],223.8,569,590.279,0,123,667.09,208.91,96,456.99,2935.069
20240701B02,応札件数（電源属地別）[件],6,3,7,0,1,6,3,6,4,36
20240701B02,落札件数（電源属地別）[件],5,3,7,0,1,4,3,6,4,33
20240701B02,最高落札価格（電源属地別）[円/kW・30分],19.5,3.68,0.34,0,0.36,0.41,1.53,2.7,19.5,19.5
20240701B02,最低落札価格（電源属地別）[円/kW・30分],1.24,1.21,0.34,0,0.36,0.34,0.34,0.34,0.34,0.34
20240701B02,平均落札価格（電源属地別）[円/kW・30分],3.02,2.7,0.34,0,0.36,0.39,0.9,1.27,6.29,2.01
20240701B02,最高落札価格（TSO別）[円/kW・30分],19.5,3.68,0.34,0,0.36,0.41,1.53,2.7,19.5,19.5
20240701B02,最低落札価格（TSO別）[円/kW・30分],1.24,0.34,0.34,0,0.36,0.34,0.34,0.34,0.34,0.34
20240701B02,平均落札価格（TSO別）[円/kW・30分],3.02,2.59,0.34,0,0.36,0.39,0.85,1.29,6.29,2.01
20240701B02,落札量合計（TSO別）[MW],223.8,598,561.279,0,119,639,250,87,456.99,2935.069
20240701B02,（内訳）自エリアからの落札量[MW],223.8,569,561.279,0,119,637,208.91,87,456.99,2862.979
20240701B03,募集量（TSO別）[MW],212,659,1688,1027,187,1041,498,208,762,6282
20240701B03,応札量合計（電源属地別）[MW],260,568,672.851,0,165,1119.5,255.326,172,432,3644.677
20240701B03,落札量合計（電源属地別）[MW],238,568,672.851,0,165,1119.5,255.326,172,432,3622.677
20240701B03,応札件数（電源属地別）[件],3,3,8,0,1,8,3,7,4,37
20240701B03,落札件数（電源属地別）[件],3,3,8,0,1,8,3,7,4,37
20240701B03,最高落札価格（電源属地別）[円/kW・30分],5.42,3,6.36,0,0.34,11.09,1.5,1.81,14.56,14.56
20240701B03,最低落札価格（電源属地別）[円/kW・30分],1.41,1.14,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240701B03,平均落札価格（電源属地別）[円/kW・30分],2.86,1.96,1.2,0,0.34,2.35,1,0.92,7.61,2.48
20240701B03,最高落札価格（TSO別）[円/kW・30分],5.42,3,6.36,0,0.34,11.09,8.45,1.81,14.56,14.56
20240701B03,最低落札価格（TSO別）[円/kW・30分],1.41,0.34,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240701B03,平均落札価格（TSO別）[円/kW・30分],2.86,1.85,1.26,0,0.34,2.36,0.97,0.82,6.69,2.48
20240701B03,落札量合計（TSO別）[MW],238,610.651,630.2,0,155,849,423,150,566.826,3622.677
20240701B03,（内訳）自エリアからの落札量[MW],238,568,630.2,0,155,849,255.326,150,432,3277.526
20240701B04,募集量（TSO別）[MW],282,711,2231,1354,221,1248,467,296,982,7792
20240701B04,応札量合計（電源属地別）[MW],294.19,409,1303.609,0,165,979,255.326,255,162.99,3824.115
20240701B04,落札量合計（電源属地別）[MW],227,409,1303.609,0,165,979,255.326,255,162.99,3756.925
20240701B04,応札件数（電源属地別）[件],6,2,10,0,1,6,3,8,5,41
20240701B04,落札件数（電源属地別）[件],4,2,10,0,1,6,3,8,5,39
20240701B04,最高落札価格（電源属地別）[円/kW・30分],5.34,3.17,2.4,0,0.34,9.17,1.85,1.62,19.5,19.5
20240701B04,最低落札価格（電源属地別）[円/kW・30分],1.58,0.93,0.34,0,0.34,0.34,0.34,0.34,0.47,0.34
20240701B04,平均落札価格（電源属地別）[円/kW・30分],3.04,2.3,1.43,0,0.34,2.22,1.2,0.65,8.71,2.03
20240701B04,最高落札価格（TSO別）[円/kW・30分],5.34,3.17,2.4,0,0.34,9.17,1.85,1.62,19.5,19.5
20240701B04,最低落札価格（TSO別）[円/kW・30分],1.58,0.34,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240701B04,平均落札価格（TSO別）[円/kW・30分],3.04,1.92,1.43,0,0.34,2.28,1.2,0.65,5.58,2.03
20240701B04,落札量合計（TSO別）[MW],227,721,991.609,0,165,842,255.326,255,299.99,3756.925
20240701B04,（内訳）自エリアからの落札量[MW],227,409,991.609,0,165,842,255.326,255,162.99,3307.925
20240701B05,募集量（TSO別）[MW],271,873,2102,1243,192,1134,527,327,1088,7757
20240701B05,応札量合計（電源属地別）[MW],264.19,250,1538.949,0,165,979,255.326,280,103,3835.465
20240701B05,落札量合計（電源属地別）[MW],243,250,1538.949,0,165,979,255.326,280,103,3814.275
20240701B05,応札件数（電源属地別）[件],6,1,11,0,1,6,3,7,2,37
20240701B05,落札件数（電源属地別）[件],3,1,11,0,1,6,3,7,2,34
20240701B05,最高落札価格（電源属地別）[円/kW・30分],19.49,2.83,6.36,0,0.36,8.83,2.21,1.01,11.75,19.49
20240701B05,最低落札価格（電源属地別）[円/kW・30分],2.1,2.83,0.34,0,0.36,0.52,0.37,0.34,6.52,0.34
20240701B05,平均落札価格（電源属地別）[円/kW・30分],5.21,2.83,1.9,0,0.36,2.42,1.43,0.53,8.4,2.28
20240701B05,最高落札価格（TSO別）[円/kW・30分],19.49,2.83,6.36,0,0.36,6.74,6.74,1.01,11.75,19.49
20240701B05,最低落札価格（TSO別）[円/kW・30分],2.1,0.34,0.34,0,0.36,0.52,0.37,0.34,0.75,0.34
20240701B05,平均落札価格（TSO別）[円/kW・30分],5.21,1.55,2.33,0,0.36,1.09,1.81,0.53,7.12,2.28
20240701B05,落札量合計（TSO別）[MW],243,690,1098.949,0,165,740,275.326,280,322,3814.275
20240701B05,（内訳）自エリアからの落札量[MW],243,250,1098.949,0,165,740,255.326,280,103,3135.275
20240701B06,募集量（TSO別）[MW],223,803,2054,1027,169,1068,484,342,895,7065
20240701B06,応札量合計（電源属地別）[MW],274.2,150,944.06,64.166,165,910,221.618,301,103,3133.044
20240701B06,落札量合計（電源属地別）[MW],223.8,150,944.06,64.166,165,910,221.618,301,103,3082.644
20240701B06,応札件数（電源属地別）[件],5,1,10,1,1,5,2,7,2,34
20240701B06,落札件数（電源属地別）[件],5,1,10,1,1,5,2,7,2,34
20240701B06,最高落札価格（電源属地別）[円/kW・30分],19.5,1.57,2.4,0.6,2.81,5.87,4.06,4.76,5.16,19.5
20240701B06,最低落札価格（電源属地別）[円/kW・30分],0.34,1.57,0.34,0.6,2.81,2.71,1.82,0.34,1.8,0.34
20240701B06,平均落札価格（電源属地別）[円/kW・30分],2.39,1.57,1.45,0.6,2.81,3.51,3.28,1.43,3.01,2.37
20240701B06,最高落札価格（TSO別）[円/kW・30分],19.5,2.4,2.4,2.4,2.81,5.87,5.87,4.76,5.87,19.5
20240701B06,最低落札価格（TSO別）[円/kW・30分],0.34,0.34,0.34,0.34,2.81,2.71,1.82,0.34,1.8,0.34
20240701B06,平均落札価格（TSO別）[円/kW・30分],2.39,1.71,1.23,1.48,2.81,3.23,3.99,1.43,3.22,2.37
20240701B06,落札量合計（TSO別）[MW],223.8,266.492,522.7,369.034,131.115,579.4,305.103,301,384,3082.644
20240701B06,（内訳）自エリアからの落札量[MW],223.8,150,522.7,64.166,131.115,568.515,221.618,301,103,2285.914
20240701B07,募集量（TSO別）[MW],234,593,1824,884,139,910,354,201,704,5843
20240701B07,応札量合計（電源属地別）[MW],278.19,207,675.968,146.582,139,847.5,356.45,190,104.99,2945.68
20240701B07,落札量合計（電源属地別）[MW],222.8,207,675.968,146.582,139,847.5,356.45,190,104.99,2890.29
20240701B07,応札件数（電源属地別）[件],6,1,9,1,1,5,6,5,3,37
20240701B07,落札件数（電源属地別）[件],4,1,9,1,1,5,6,5,3,35
